Variável,PSI,KS,Status
Cloud3pm,0.0924,0.1067, Estável (Sem Drift)
Cloud9am,0.0833,0.1127, Estável (Sem Drift)
MaxTemp,0.0810,0.1142, Estável (Sem Drift)
Temp3pm,0.0786,0.1167, Estável (Sem Drift)
MinTemp,0.0700,0.1112, Estável (Sem Drift)
Temp9am,0.0494,0.0949, Estável (Sem Drift)
WindGustSpeed,0.0383,0.0731, Estável (Sem Drift)
WindSpeed3pm,0.0338,0.0801, Estável (Sem Drift)
Evaporation,0.0322,0.0805, Estável (Sem Drift)
Pressure3pm,0.0203,0.0451, Estável (Sem Drift)
WindSpeed9am,0.0202,0.0577, Estável (Sem Drift)
Humidity9am,0.0197,0.0602, Estável (Sem Drift)
Pressure9am,0.0186,0.0483, Estável (Sem Drift)
Sunshine,0.0095,0.0251, Estável (Sem Drift)
Humidity3pm,0.0068,0.0177, Estável (Sem Drift)
Rainfall,0.0032,0.0331, Estável (Sem Drift)
